DatContrato;Ano;Mes;Contrato;CPF;NomCliente;VlrLiberado;VlrTAC;VlrFinanciado;VlrIOC;Seguro;CodProduto;Produto;TipoProduto;Loja;RazaoSocial;CNPJ_Loja;Filial;NomeFantasia;CNPJ_Filial;TaxaOperacao;Tabela;Plano;VlrParcela;PriVencimento
03/02/20;2020;2;cont11;99911122210;Nome Cliente 11;1552,16;0;1587,37;35,21;0;9909;Prod Nome;Tipo 037;1119;Nome Loja;1,99333E+13;123;Loja ABC 11;1,99333E+13;0,0549206;240;12;185;05/03/20
03/02/20;2020;2;cont12;99911122211;Nome Cliente 12;947,52;0;966,44;18,92;0;9909;Prod Nome;Tipo 038;1119;Nome Loja;1,99333E+13;123;Loja ABC 12;1,99333E+13;0,0653871;240;10;136;08/03/20
03/02/20;2020;2;cont13;99911122212;Nome Cliente 13;1114,24;0;1139,95;25,71;0;9909;Prod Nome;Tipo 039;1119;Nome Loja;1,99333E+13;123;Loja ABC 13;1,99333E+13;0,0550034;240;12;134;10/03/20
03/02/20;2020;2;cont14;99911122213;Nome Cliente 14;322,34;0;325,01;2,67;0;9909;Prod Nome;Tipo 040;1119;Nome Loja;1,99333E+13;123;Loja ABC 14;1,99333E+13;0,0591447;240;2;179,38;10/03/20
03/02/20;2020;2;cont15;99911122214;Nome Cliente 15;1000,86;0;1018,16;17,3;0;9909;Prod Nome;Tipo 041;1119;Nome Loja;1,99333E+13;123;Loja ABC 15;1,99333E+13;0,0562727;240;8;165;15/03/20
03/02/20;2020;2;cont16;99911122215;Nome Cliente 16;1314,87;0;1344,8;29,93;0;9909;Prod Nome;Tipo 042;1119;Nome Loja;1,99333E+13;123;Loja ABC 16;1,99333E+13;0,0549353;240;12;157;06/03/20
03/02/20;2020;2;cont17;99911122216;Nome Cliente 17;239,84;0;242,98;3,14;0;9909;Prod Nome;Tipo 043;1119;Nome Loja;1,99333E+13;123;Loja ABC 17;1,99333E+13;0,0549385;240;6;48,63;01/03/20
03/02/20;2020;2;cont18;99911122217;Nome Cliente 18;1036,42;0;1053,41;16,99;0;9909;Prod Nome;Tipo 044;1119;Nome Loja;1,99333E+13;123;Loja ABC 18;1,99333E+13;0,0539382;240;8;166,4;05/03/20
03/02/20;2020;2;cont19;99911122218;Nome Cliente 19;944,73;0;961,17;16,44;0;9909;Prod Nome;Tipo 045;1119;Nome Loja;1,99333E+13;123;Loja ABC 19;1,99333E+13;0,0662119;240;8;162;15/03/20
03/02/20;2020;2;cont20;99911122219;Nome Cliente 20;117,41;0;118,14;0,73;0;9909;Prod Nome;Tipo 046;1119;Nome Loja;1,99333E+13;123;Loja ABC 20;1,99333E+13;0,0580667;240;1;125;01/03/20
03/02/20;2020;2;cont21;99911122220;Nome Cliente 21;1995,75;0;2041,01;45,26;0;9909;Prod Nome;Tipo 047;1119;Nome Loja;1,99333E+13;123;Loja ABC 21;1,99333E+13;0,0648795;240;12;250;01/03/20
03/02/20;2020;2;cont22;99911122221;Nome Cliente 22;1197,33;0;1224,96;27,63;0;9909;Prod Nome;Tipo 048;1119;Nome Loja;1,99333E+13;123;Loja ABC 22;1,99333E+13;0,0631831;240;12;149,88;07/03/20
03/02/20;2020;2;cont23;99911122222;Nome Cliente 23;484,76;0;491,32;6,56;0;9909;Prod Nome;Tipo 049;1119;Nome Loja;1,99333E+13;123;Loja ABC 23;1,99333E+13;0,0550259;240;6;99;06/03/20
03/02/20;2020;2;cont24;99911122223;Nome Cliente 24;2663,3;0;2725,76;62,46;0;9909;Prod Nome;Tipo 050;1119;Nome Loja;1,99333E+13;123;Loja ABC 24;1,99333E+13;0,065536;240;12;340;11/03/20
03/02/20;2020;2;cont25;99911122224;Nome Cliente 25;231,37;0;233,39;2,02;0;9909;Prod Nome;Tipo 051;1119;Nome Loja;1,99333E+13;123;Loja ABC 25;1,99333E+13;0,0598906;240;2;130;15/03/20
03/02/20;2020;2;cont26;99911122225;Nome Cliente 26;234,04;0;235,89;1,85;0;9909;Prod Nome;Tipo 052;1119;Nome Loja;1,99333E+13;123;Loja ABC 26;1,99333E+13;0,058374;240;2;129;05/03/20
03/02/20;2020;2;cont27;99911122226;Nome Cliente 27;756,12;0;761,25;5,13;0;9909;Prod Nome;Tipo 053;1119;Nome Loja;1,99333E+13;123;Loja ABC 27;1,99333E+13;0,0421922;240;2;399;22/02/20
03/02/20;2020;2;cont28;99911122227;Nome Cliente 28;581,24;0;594,02;12,78;0;9909;Prod Nome;Tipo 054;1119;Nome Loja;1,99333E+13;123;Loja ABC 28;1,99333E+13;0,0550698;240;11;75;15/03/20
03/02/20;2020;2;cont29;99911122228;Nome Cliente 29;1769,82;0;1822,08;52,26;0;9909;Prod Nome;Tipo 055;1119;Nome Loja;1,99333E+13;123;Loja ABC 29;1,99333E+13;0,0648952;240;18;180;21/03/20
03/02/20;2020;2;cont30;99911122229;Nome Cliente 30;965,4;0;989,87;24,47;0;9909;Prod Nome;Tipo 056;1119;Nome Loja;1,99333E+13;123;Loja ABC 30;1,99333E+13;0,0674071;240;12;129,9;05/04/20
03/02/20;2020;2;cont31;99911122230;Nome Cliente 31;1346,73;0;1377,27;30,54;0;9909;Prod Nome;Tipo 057;1119;Nome Loja;1,99333E+13;123;Loja ABC 31;1,99333E+13;0,06488;240;12;168,7;01/03/20
03/02/20;2020;2;cont32;99911122231;Nome Cliente 32;900,27;0;921,07;20,8;0;9909;Prod Nome;Tipo 058;1119;Nome Loja;1,99333E+13;123;Loja ABC 32;1,99333E+13;0,0560401;240;12;108,9;10/03/20
03/02/20;2020;2;cont33;99911122232;Nome Cliente 33;776,75;0;794,37;17,62;0;9909;Prod Nome;Tipo 059;1119;Nome Loja;1,99333E+13;123;Loja ABC 33;1,99333E+13;0,0648775;240;12;97,3;01/03/20
03/02/20;2020;2;cont34;99911122233;Nome Cliente 34;1199,65;0;1228,85;29,2;0;9909;Prod Nome;Tipo 060;1119;Nome Loja;1,99333E+13;123;Loja ABC 34;1,99333E+13;0,0377593;240;12;135,7;01/04/20
03/02/20;2020;2;cont35;99911122234;Nome Cliente 35;694,93;0;703,87;8,94;0;9909;Prod Nome;Tipo 061;1119;Nome Loja;1,99333E+13;123;Loja ABC 35;1,99333E+13;0,0611076;240;5;171,18;15/03/20
03/02/20;2020;2;cont36;99911122235;Nome Cliente 36;233,64;0;235,72;2,08;0;9909;Prod Nome;Tipo 062;1119;Nome Loja;1,99333E+13;123;Loja ABC 36;1,99333E+13;0,0649869;240;3;89;01/03/20
03/02/20;2020;2;cont37;99911122236;Nome Cliente 37;533,24;0;540,74;7,5;0;9909;Prod Nome;Tipo 063;1119;Nome Loja;1,99333E+13;123;Loja ABC 37;1,99333E+13;0,0623743;240;5;135;29/03/20
03/02/20;2020;2;cont38;99911122237;Nome Cliente 38;2080,64;0;2122,55;41,91;0;9909;Prod Nome;Tipo 064;1119;Nome Loja;1,99333E+13;123;Loja ABC 38;1,99333E+13;0,0655521;240;10;299,9;10/03/20
03/02/20;2020;2;cont39;99911122238;Nome Cliente 39;1730,27;0;1776,24;45,97;0;9909;Prod Nome;Tipo 065;1119;Nome Loja;1,99333E+13;123;Loja ABC 39;1,99333E+13;0,058106;240;15;183;10/03/20
03/02/20;2020;2;cont40;99911122239;Nome Cliente 40;1037,2;0;1050,09;12,89;0;9909;Prod Nome;Tipo 066;1119;Nome Loja;1,99333E+13;123;Loja ABC 40;1,99333E+13;0,0562798;240;5;250;10/03/20
03/02/20;2020;2;cont41;99911122240;Nome Cliente 41;229,47;0;231,38;1,91;0;9909;Prod Nome;Tipo 067;1119;Nome Loja;1,99333E+13;123;Loja ABC 41;1,99333E+13;0,0591337;240;2;127,7;10/03/20
03/02/20;2020;2;cont42;99911122241;Nome Cliente 42;411,62;0;415,85;4,23;0;9909;Prod Nome;Tipo 068;1119;Nome Loja;1,99333E+13;123;Loja ABC 42;1,99333E+13;0,0599608;240;4;120;01/03/20
03/02/20;2020;2;cont43;99911122242;Nome Cliente 43;1070,09;0;1094,53;24,44;0;9909;Prod Nome;Tipo 069;1119;Nome Loja;1,99333E+13;123;Loja ABC 43;1,99333E+13;0,0549469;240;12;128;07/03/20
03/02/20;2020;2;cont44;99911122243;Nome Cliente 44;2420,64;0;2488,19;67,55;0;9909;Prod Nome;Tipo 070;1119;Nome Loja;1,99333E+13;123;Loja ABC 44;1,99333E+13;0,0646187;240;16;259,51;15/03/20
03/02/20;2020;2;cont45;99911122244;Nome Cliente 45;211,1;0;213,82;2,72;0;9909;Prod Nome;Tipo 071;1119;Nome Loja;1,99333E+13;123;Loja ABC 45;1,99333E+13;0,0610849;240;5;52;15/03/20
03/02/20;2020;2;cont46;99911122245;Nome Cliente 46;100,03;0;100,9;0,87;0;9909;Prod Nome;Tipo 072;1119;Nome Loja;1,99333E+13;123;Loja ABC 46;1,99333E+13;0,0560484;240;2;55,9;15/03/20
03/02/20;2020;2;cont47;99911122246;Nome Cliente 47;884,09;0;899,14;15,05;0;9909;Prod Nome;Tipo 073;1119;Nome Loja;1,99333E+13;123;Loja ABC 47;1,99333E+13;0,0705908;240;6;203;15/04/20
03/02/20;2020;2;cont48;99911122247;Nome Cliente 48;479,86;0;490,74;10,88;0;9909;Prod Nome;Tipo 074;1119;Nome Loja;1,99333E+13;123;Loja ABC 48;1,99333E+13;0,0648797;240;12;60,11;01/03/20
03/02/20;2020;2;cont49;99911122248;Nome Cliente 49;2471,51;0;2506,22;34,71;0;9909;Prod Nome;Tipo 075;1119;Nome Loja;1,99333E+13;123;Loja ABC 49;1,99333E+13;0,0562864;240;6;512;12/03/20
03/02/20;2020;2;cont50;99911122249;Nome Cliente 50;1840,84;0;1885,46;44,62;0;9909;Prod Nome;Tipo 076;1119;Nome Loja;1,99333E+13;123;Loja ABC 50;1,99333E+13;0,0662809;240;12;240;21/03/20
03/02/20;2020;2;cont51;99911122250;Nome Cliente 51;455,86;0;460,89;5,03;0;9909;Prod Nome;Tipo 077;1119;Nome Loja;1,99333E+13;123;Loja ABC 51;1,99333E+13;0,0607912;240;4;135;10/03/20
03/02/20;2020;2;cont52;99911122251;Nome Cliente 52;493,42;0;505,76;12,34;0;9909;Prod Nome;Tipo 078;1119;Nome Loja;1,99333E+13;123;Loja ABC 52;1,99333E+13;0,0647311;240;12;65;01/04/20
03/02/20;2020;2;cont53;99911122252;Nome Cliente 53;1758,35;0;1799,45;41,1;0;9909;Prod Nome;Tipo 079;1119;Nome Loja;1,99333E+13;123;Loja ABC 53;1,99333E+13;0,0654566;240;12;224;10/03/20
03/02/20;2020;2;cont54;99911122253;Nome Cliente 54;759,52;0;766,52;7;0;9909;Prod Nome;Tipo 080;1119;Nome Loja;1,99333E+13;123;Loja ABC 54;1,99333E+13;0,0540474;240;3;285;05/03/20
03/02/20;2020;2;cont55;99911122254;Nome Cliente 55;342,19;0;345,64;3,45;0;9909;Prod Nome;Tipo 081;1119;Nome Loja;1,99333E+13;123;Loja ABC 55;1,99333E+13;0,067893;240;3;134;15/03/20
03/02/20;2020;2;cont56;99911122255;Nome Cliente 56;1699,02;0;1748,23;49,21;0;9909;Prod Nome;Tipo 082;1119;Nome Loja;1,99333E+13;123;Loja ABC 56;1,99333E+13;0,0641916;240;18;168,21;08/03/20
03/02/20;2020;2;cont57;99911122256;Nome Cliente 57;1028,5;0;1054,88;26,38;0;9909;Prod Nome;Tipo 083;1119;Nome Loja;1,99333E+13;123;Loja ABC 57;1,99333E+13;0,0653222;240;12;138;10/04/20
03/02/20;2020;2;cont58;99911122257;Nome Cliente 58;361,98;0;367,61;5,63;0;9909;Prod Nome;Tipo 084;1119;Nome Loja;1,99333E+13;123;Loja ABC 58;1,99333E+13;0,0715123;240;5;96,7;15/04/20
03/02/20;2020;2;cont59;99911122258;Nome Cliente 59;364,69;0;368,72;4,03;0;9909;Prod Nome;Tipo 085;1119;Nome Loja;1,99333E+13;123;Loja ABC 59;1,99333E+13;0,0607817;240;4;108;10/03/20
03/02/20;2020;2;cont60;99911122259;Nome Cliente 60;954,26;0;973,9;19,64;0;9909;Prod Nome;Tipo 086;1119;Nome Loja;1,99333E+13;123;Loja ABC 60;1,99333E+13;0,0659705;240;10;139;15/03/20
03/02/20;2020;2;cont61;99911122260;Nome Cliente 61;1671,15;0;1699,32;28,17;0;9909;Prod Nome;Tipo 087;1119;Nome Loja;1,99333E+13;123;Loja ABC 61;1,99333E+13;0,0561251;240;8;273;10/03/20
03/02/20;2020;2;cont62;99911122261;Nome Cliente 62;3117,27;0;3207,82;90,55;0;9909;Prod Nome;Tipo 088;1119;Nome Loja;1,99333E+13;123;Loja ABC 62;1,99333E+13;0,0642948;240;18;309,9;10/03/20
03/02/20;2020;2;cont63;99911122262;Nome Cliente 63;2714,22;0;2775,77;61,55;0;9909;Prod Nome;Tipo 089;1119;Nome Loja;1,99333E+13;123;Loja ABC 63;1,99333E+13;0,0648798;240;12;340;01/03/20
03/02/20;2020;2;cont64;99911122263;Nome Cliente 64;554,32;0;565,09;10,77;0;9909;Prod Nome;Tipo 090;1119;Nome Loja;1,99333E+13;123;Loja ABC 64;1,99333E+13;0,0665361;240;9;88;20/03/20
03/02/20;2020;2;cont65;99911122264;Nome Cliente 65;438,91;0;446,31;7,4;0;9909;Prod Nome;Tipo 091;1119;Nome Loja;1,99333E+13;123;Loja ABC 65;1,99333E+13;0,056112;240;8;71,7;10/03/20
03/02/20;2020;2;cont66;99911122265;Nome Cliente 66;1202,7;0;1223,7;21;0;9909;Prod Nome;Tipo 092;1119;Nome Loja;1,99333E+13;123;Loja ABC 66;1,99333E+13;0,0563208;240;8;199;17/03/20
03/02/20;2020;2;cont67;99911122266;Nome Cliente 67;1780,09;0;1823,29;43,2;0;9909;Prod Nome;Tipo 093;1119;Nome Loja;1,99333E+13;123;Loja ABC 67;1,99333E+13;0,0552338;240;12;219,9;25/03/20
03/02/20;2020;2;cont68;99911122267;Nome Cliente 68;441,03;0;444,96;3,93;0;9909;Prod Nome;Tipo 094;1119;Nome Loja;1,99333E+13;123;Loja ABC 68;1,99333E+13;0,0649803;240;3;168;01/03/20
03/02/20;2020;2;cont69;99911122268;Nome Cliente 69;781,14;0;792,36;11,22;0;9909;Prod Nome;Tipo 095;1119;Nome Loja;1,99333E+13;123;Loja ABC 69;1,99333E+13;0,0665942;240;6;168;15/03/20
03/02/20;2020;2;cont70;99911122269;Nome Cliente 70;1573,82;0;1610,68;36,86;0;9909;Prod Nome;Tipo 096;1119;Nome Loja;1,99333E+13;123;Loja ABC 70;1,99333E+13;0,0385594;240;12;175,25;20/03/20
03/02/20;2020;2;cont71;99911122270;Nome Cliente 71;1226,85;0;1256,81;29,96;0;9909;Prod Nome;Tipo 097;1119;Nome Loja;1,99333E+13;123;Loja ABC 71;1,99333E+13;0,0642368;240;12;159;24/03/20
03/02/20;2020;2;cont72;99911122271;Nome Cliente 72;906,32;0;929,38;23,06;0;9909;Prod Nome;Tipo 098;1119;Nome Loja;1,99333E+13;123;Loja ABC 72;1,99333E+13;0,0567216;240;12;116;10/04/20
03/02/20;2020;2;cont73;99911122272;Nome Cliente 73;662,81;0;677,84;15,03;0;9909;Prod Nome;Tipo 099;1119;Nome Loja;1,99333E+13;123;Loja ABC 73;1,99333E+13;0,0549331;240;12;79;05/03/20
03/02/20;2020;2;cont74;99911122273;Nome Cliente 74;3020,67;0;3082,85;62,18;0;9909;Prod Nome;Tipo 100;1119;Nome Loja;1,99333E+13;123;Loja ABC 74;1,99333E+13;0,0659712;240;10;440;15/03/20
03/02/20;2020;2;cont75;99911122274;Nome Cliente 75;1293,13;0;1312,25;19,12;0;9909;Prod Nome;Tipo 101;1119;Nome Loja;1,99333E+13;123;Loja ABC 75;1,99333E+13;0,0648587;240;6;279;20/03/20
03/02/20;2020;2;cont76;99911122275;Nome Cliente 76;1119,16;0;1144,48;25,32;0;9909;Prod Nome;Tipo 102;1119;Nome Loja;1,99333E+13;123;Loja ABC 76;1,99333E+13;0,0392404;240;12;123;10/03/20
03/02/20;2020;2;cont77;99911122276;Nome Cliente 77;812,45;0;824,46;12,01;0;9909;Prod Nome;Tipo 103;1119;Nome Loja;1,99333E+13;123;Loja ABC 77;1,99333E+13;0,0648542;240;6;175,29;20/03/20
03/02/20;2020;2;cont78;99911122277;Nome Cliente 78;824,46;0;897,14;15,05;57,63;9909;Prod Nome;Tipo 104;1119;Nome Loja;1,99333E+13;123;Loja ABC 78;1,99333E+13;0,0658073;240;8;149,99;11/03/20
03/02/20;2020;2;cont79;99911122278;Nome Cliente 79;429,5;0;434,14;4,64;0;9909;Prod Nome;Tipo 105;1119;Nome Loja;1,99333E+13;123;Loja ABC 79;1,99333E+13;0,0658096;240;4;128;07/03/20
03/02/20;2020;2;cont80;99911122279;Nome Cliente 80;958,79;0;972,09;13,3;0;9909;Prod Nome;Tipo 106;1119;Nome Loja;1,99333E+13;123;Loja ABC 80;1,99333E+13;0,0562117;240;6;197,9;10/03/20
03/02/20;2020;2;cont81;99911122280;Nome Cliente 81;111,96;0;112,7;0,74;0;9909;Prod Nome;Tipo 107;1119;Nome Loja;1,99333E+13;123;Loja ABC 81;1,99333E+13;0,05874;240;1;119,9;05/03/20
04/02/20;2020;2;cont82;99911122281;Nome Cliente 82;1342,31;0;1373,69;31,38;0;9909;Prod Nome;Tipo 108;1119;Nome Loja;1,99333E+13;123;Loja ABC 82;1,99333E+13;0,0654605;240;12;171;10/03/20
03/02/20;2020;2;cont83;99911122282;Nome Cliente 83;689,13;0;697,71;8,58;0;9909;Prod Nome;Tipo 109;1119;Nome Loja;1,99333E+13;123;Loja ABC 83;1,99333E+13;0,060657;240;5;168,1;10/03/20
03/02/20;2020;2;cont84;99911122283;Nome Cliente 84;1718,31;0;1755,97;37,66;0;9909;Prod Nome;Tipo 110;1119;Nome Loja;1,99333E+13;123;Loja ABC 84;1,99333E+13;0,0397951;240;12;186,88;01/03/20
03/02/20;2020;2;cont85;99911122284;Nome Cliente 85;518,16;0;526,73;8,57;0;9909;Prod Nome;Tipo 111;1119;Nome Loja;1,99333E+13;123;Loja ABC 85;1,99333E+13;0,0652104;240;8;87;05/03/20
03/02/20;2020;2;cont86;99911122285;Nome Cliente 86;942,58;0;960,66;18,08;0;9909;Prod Nome;Tipo 112;1119;Nome Loja;1,99333E+13;123;Loja ABC 86;1,99333E+13;0,055901;240;10;128;01/03/20
03/02/20;2020;2;cont87;99911122286;Nome Cliente 87;1126,57;0;1149,76;23,19;0;9909;Prod Nome;Tipo 113;1119;Nome Loja;1,99333E+13;123;Loja ABC 87;1,99333E+13;0,0659783;240;10;164,1;15/03/20
03/02/20;2020;2;cont88;99911122287;Nome Cliente 88;485,89;0;490,58;4,69;0;9909;Prod Nome;Tipo 114;1119;Nome Loja;1,99333E+13;123;Loja ABC 88;1,99333E+13;0,0667577;240;3;188,26;10/03/20
03/02/20;2020;2;cont89;99911122288;Nome Cliente 89;233,03;0;235,93;2,9;0;9909;Prod Nome;Tipo 115;1119;Nome Loja;1,99333E+13;123;Loja ABC 89;1,99333E+13;0,055203;240;5;56;10/03/20
03/02/20;2020;2;cont90;99911122289;Nome Cliente 90;943,47;0;1026,43;17,01;65,95;9909;Prod Nome;Tipo 116;1119;Nome Loja;1,99333E+13;123;Loja ABC 90;1,99333E+13;0,0561308;240;8;164,9;10/03/20
03/02/20;2020;2;cont91;99911122290;Nome Cliente 91;1164,35;0;1188,98;24,63;0;9909;Prod Nome;Tipo 117;1119;Nome Loja;1,99333E+13;123;Loja ABC 91;1,99333E+13;0,0391918;240;11;136,9;10/03/20
03/02/20;2020;2;cont92;99911122291;Nome Cliente 92;689,03;0;705,01;15,98;0;9909;Prod Nome;Tipo 118;1119;Nome Loja;1,99333E+13;123;Loja ABC 92;1,99333E+13;0,0560718;240;12;83,5;11/03/20
03/02/20;2020;2;cont93;99911122292;Nome Cliente 93;403,07;0;437,8;6,56;28,17;9909;Prod Nome;Tipo 119;1119;Nome Loja;1,99333E+13;123;Loja ABC 93;1,99333E+13;0,065406;240;6;94;25/03/20
03/02/20;2020;2;cont94;99911122293;Nome Cliente 94;645,01;0;651,51;6,5;0;9909;Prod Nome;Tipo 120;1119;Nome Loja;1,99333E+13;123;Loja ABC 94;1,99333E+13;0,0617592;240;3;249,75;15/03/20
03/02/20;2020;2;cont95;99911122294;Nome Cliente 95;2161,96;0;2211,85;49,89;0;9909;Prod Nome;Tipo 121;1119;Nome Loja;1,99333E+13;123;Loja ABC 95;1,99333E+13;0,0550005;240;12;260;10/03/20
03/02/20;2020;2;cont96;99911122295;Nome Cliente 96;937,44;0;956,52;19,08;0;9909;Prod Nome;Tipo 122;1119;Nome Loja;1,99333E+13;123;Loja ABC 96;1,99333E+13;0,0540142;240;10;129;15/03/20
03/02/20;2020;2;cont97;99911122296;Nome Cliente 97;453,8;0;461,5;7,7;0;9909;Prod Nome;Tipo 123;1119;Nome Loja;1,99333E+13;123;Loja ABC 97;1,99333E+13;0,0656885;240;8;77;10/03/20
03/02/20;2020;2;cont98;99911122297;Nome Cliente 98;1194,2;0;1221,64;27,44;0;9909;Prod Nome;Tipo 124;1119;Nome Loja;1,99333E+13;123;Loja ABC 98;1,99333E+13;0,0650937;240;12;150,54;05/03/20
03/02/20;2020;2;cont99;99911122298;Nome Cliente 99;1387,27;0;1405,75;18,48;0;9909;Prod Nome;Tipo 125;1119;Nome Loja;1,99333E+13;123;Loja ABC 99;1,99333E+13;0,0394574;240;6;269;05/03/20
03/02/20;2020;2;cont100;99911122299;Nome Cliente 100;2074,78;0;2121,83;47,05;0;9909;Prod Nome;Tipo 126;1119;Nome Loja;1,99333E+13;123;Loja ABC 100;1,99333E+13;0,0648799;240;12;259,9;01/03/20
03/02/20;2020;2;cont101;99911122300;Nome Cliente 101;1138,22;0;1164,82;26,6;0;9909;Prod Nome;Tipo 127;1119;Nome Loja;1,99333E+13;123;Loja ABC 101;1,99333E+13;0,0654664;240;12;145;10/03/20
03/02/20;2020;2;cont102;99911122301;Nome Cliente 102;2275,65;0;2328,84;53,19;0;9909;Prod Nome;Tipo 128;1119;Nome Loja;1,99333E+13;123;Loja ABC 102;1,99333E+13;0,0654588;240;12;289,9;10/03/20
03/02/20;2020;2;cont103;99911122302;Nome Cliente 103;1146,21;0;1172,69;26,48;0;9909;Prod Nome;Tipo 129;1119;Nome Loja;1,99333E+13;123;Loja ABC 103;1,99333E+13;0,0560475;240;12;138,65;10/03/20
03/02/20;2020;2;cont104;99911122303;Nome Cliente 104;1267,08;0;1298,59;31,51;0;9909;Prod Nome;Tipo 130;1119;Nome Loja;1,99333E+13;123;Loja ABC 104;1,99333E+13;0,0668717;240;12;168;29/03/20
03/02/20;2020;2;cont105;99911122304;Nome Cliente 105;399,32;0;406,13;6,81;0;9909;Prod Nome;Tipo 131;1119;Nome Loja;1,99333E+13;123;Loja ABC 105;1,99333E+13;0,0657969;240;8;67,9;11/03/20
03/02/20;2020;2;cont106;99911122305;Nome Cliente 106;1298,97;0;1328,88;29,91;0;9909;Prod Nome;Tipo 132;1119;Nome Loja;1,99333E+13;123;Loja ABC 106;1,99333E+13;0,0388966;240;12;143,7;15/03/20
03/02/20;2020;2;cont107;99911122306;Nome Cliente 107;2096,47;0;2146,3;49,83;0;9909;Prod Nome;Tipo 133;1119;Nome Loja;1,99333E+13;123;Loja ABC 107;1,99333E+13;0,0658303;240;12;269,9;15/03/20
03/02/20;2020;2;cont108;99911122307;Nome Cliente 108;740,06;0;757,14;17,08;0;9909;Prod Nome;Tipo 134;1119;Nome Loja;1,99333E+13;123;Loja ABC 108;1,99333E+13;0,0549992;240;12;89;10/03/20
03/02/20;2020;2;cont109;99911122308;Nome Cliente 109;1359,18;0;1386,91;27,73;0;9909;Prod Nome;Tipo 135;1119;Nome Loja;1,99333E+13;123;Loja ABC 109;1,99333E+13;0,05619;240;10;189;15/03/20
03/02/20;2020;2;cont110;99911122309;Nome Cliente 110;1976,23;0;2023,2;46,97;0;9909;Prod Nome;Tipo 136;1119;Nome Loja;1,99333E+13;123;Loja ABC 110;1,99333E+13;0,0658347;240;12;254,42;15/03/20
03/02/20;2020;2;cont111;99911122310;Nome Cliente 111;1083,27;0;1108,59;25,32;0;9909;Prod Nome;Tipo 137;1119;Nome Loja;1,99333E+13;123;Loja ABC 111;1,99333E+13;0,0654656;240;12;138;10/03/20
03/02/20;2020;2;cont112;99911122311;Nome Cliente 112;967,8;0;990,04;22,24;0;9909;Prod Nome;Tipo 138;1119;Nome Loja;1,99333E+13;123;Loja ABC 112;1,99333E+13;0,0650954;240;12;122;05/03/20
03/02/20;2020;2;cont113;99911122312;Nome Cliente 113;503,17;0;511,32;8,15;0;9909;Prod Nome;Tipo 139;1119;Nome Loja;1,99333E+13;123;Loja ABC 113;1,99333E+13;0,0649154;240;8;83,95;01/03/20
03/02/20;2020;2;cont114;99911122313;Nome Cliente 114;1916,84;0;1961,64;44,8;0;9909;Prod Nome;Tipo 140;1119;Nome Loja;1,99333E+13;123;Loja ABC 114;1,99333E+13;0,0654578;240;12;244,19;10/03/20
